game_name,drawing_date,number_drawn
Powerball,2/6/2013,36
Powerball,2/6/2013,38
Powerball,2/6/2013,5
Powerball,2/6/2013,27
Powerball,2/6/2013,41
Powerball,2/9/2013,58
Powerball,2/9/2013,36
Powerball,2/9/2013,16
Powerball,2/9/2013,6
Powerball,2/9/2013,5
Powerball,2/13/2013,12
Powerball,2/13/2013,43
Powerball,2/13/2013,27
Powerball,2/13/2013,25
Powerball,2/13/2013,23
Powerball,2/16/2013,58
Powerball,2/16/2013,16
Powerball,2/16/2013,15
Powerball,2/16/2013,46
Powerball,2/16/2013,50
Powerball,2/20/2013,25
Powerball,2/20/2013,3
Powerball,2/20/2013,32
Powerball,2/20/2013,17
Powerball,2/20/2013,19
Powerball,2/23/2013,41
Powerball,2/23/2013,31
Powerball,2/23/2013,39
Powerball,2/23/2013,2
Powerball,2/23/2013,5
Powerball,2/27/2013,48
Powerball,2/27/2013,20
Powerball,2/27/2013,14
Powerball,2/27/2013,34
Powerball,2/27/2013,3
Powerball,3/2/2013,56
Powerball,3/2/2013,13
Powerball,3/2/2013,8
Powerball,3/2/2013,41
Powerball,3/2/2013,3
Powerball,3/6/2013,45
Powerball,3/6/2013,10
Powerball,3/6/2013,6
Powerball,3/6/2013,23
Powerball,3/6/2013,41
Powerball,3/9/2013,46
Powerball,3/9/2013,52
Powerball,3/9/2013,37
Powerball,3/9/2013,10
Powerball,3/9/2013,40
Powerball,3/13/2013,38
Powerball,3/13/2013,9
Powerball,3/13/2013,32
Powerball,3/13/2013,28
Powerball,3/13/2013,5
Powerball,3/16/2013,44
Powerball,3/16/2013,53
Powerball,3/16/2013,7
Powerball,3/16/2013,21
Powerball,3/16/2013,3
Powerball,3/20/2013,43
Powerball,3/20/2013,17
Powerball,3/20/2013,14
Powerball,3/20/2013,13
Powerball,3/20/2013,54
Powerball,3/23/2013,29
Powerball,3/23/2013,53
Powerball,3/23/2013,52
Powerball,3/23/2013,17
Powerball,3/23/2013,31
Powerball,3/27/2013,43
Powerball,3/27/2013,48
Powerball,3/27/2013,7
Powerball,3/27/2013,37
Powerball,3/27/2013,52
Powerball,3/30/2013,23
Powerball,3/30/2013,46
Powerball,3/30/2013,11
Powerball,3/30/2013,26
Powerball,3/30/2013,55
Powerball,4/3/2013,35
Powerball,4/3/2013,8
Powerball,4/3/2013,12
Powerball,4/3/2013,1
Powerball,4/3/2013,6
Powerball,4/6/2013,39
Powerball,4/6/2013,29
Powerball,4/6/2013,4
Powerball,4/6/2013,8
Powerball,4/6/2013,7
Powerball,4/10/2013,40
Powerball,4/10/2013,1
Powerball,4/10/2013,52
Powerball,4/10/2013,36
Powerball,4/10/2013,53
Powerball,4/13/2013,10
Powerball,4/13/2013,57
Powerball,4/13/2013,31
Powerball,4/13/2013,12
Powerball,4/13/2013,56
Powerball,4/17/2013,58
Powerball,4/17/2013,18
Powerball,4/17/2013,48
Powerball,4/17/2013,13
Powerball,4/17/2013,36
Powerball,4/20/2013,6
Powerball,4/20/2013,39
Powerball,4/20/2013,8
Powerball,4/20/2013,30
Powerball,4/20/2013,48
Powerball,4/24/2013,9
Powerball,4/24/2013,59
Powerball,4/24/2013,31
Powerball,4/24/2013,56
Powerball,4/24/2013,19
Powerball,4/27/2013,55
Powerball,4/27/2013,54
Powerball,4/27/2013,48
Powerball,4/27/2013,23
Powerball,4/27/2013,3
Powerball,5/1/2013,31
Powerball,5/1/2013,22
Powerball,5/1/2013,55
Powerball,5/1/2013,26
Powerball,5/1/2013,54
Powerball,5/4/2013,26
Powerball,5/4/2013,36
Powerball,5/4/2013,40
Powerball,5/4/2013,7
Powerball,5/4/2013,12
Powerball,5/8/2013,21
Powerball,5/8/2013,57
Powerball,5/8/2013,26
Powerball,5/8/2013,22
Powerball,5/8/2013,30
Powerball,5/11/2013,6
Powerball,5/11/2013,23
Powerball,5/11/2013,19
Powerball,5/11/2013,43
Powerball,5/11/2013,13
Powerball,5/15/2013,2
Powerball,5/15/2013,34
Powerball,5/15/2013,11
Powerball,5/15/2013,41
