game_name,drawing_date,number_drawn
Mega Millions,11/9/2012,40
Mega Millions,11/9/2012,33
Mega Millions,11/9/2012,22
Mega Millions,11/13/2012,12
Mega Millions,11/13/2012,31
Mega Millions,11/13/2012,6
Mega Millions,11/13/2012,46
Mega Millions,11/13/2012,56
Mega Millions,11/16/2012,26
Mega Millions,11/16/2012,5
Mega Millions,11/16/2012,24
Mega Millions,11/16/2012,53
Mega Millions,11/16/2012,29
Mega Millions,11/20/2012,9
Mega Millions,11/20/2012,52
Mega Millions,11/20/2012,13
Mega Millions,11/20/2012,22
Mega Millions,11/20/2012,38
Mega Millions,11/23/2012,47
Mega Millions,11/23/2012,37
Mega Millions,11/23/2012,8
Mega Millions,11/23/2012,44
Mega Millions,11/23/2012,48
Mega Millions,11/27/2012,42
Mega Millions,11/27/2012,26
Mega Millions,11/27/2012,12
Mega Millions,11/27/2012,5
Mega Millions,11/27/2012,49
Mega Millions,11/30/2012,24
Mega Millions,11/30/2012,31
Mega Millions,11/30/2012,28
Mega Millions,11/30/2012,11
Mega Millions,11/30/2012,22
Mega Millions,12/4/2012,19
Mega Millions,12/4/2012,32
Mega Millions,12/4/2012,3
Mega Millions,12/4/2012,43
Mega Millions,12/4/2012,24
Mega Millions,12/7/2012,43
Mega Millions,12/7/2012,7
Mega Millions,12/7/2012,44
Mega Millions,12/7/2012,51
Mega Millions,12/7/2012,56
Mega Millions,12/11/2012,44
Mega Millions,12/11/2012,54
Mega Millions,12/11/2012,39
Mega Millions,12/11/2012,52
Mega Millions,12/11/2012,51
Mega Millions,12/14/2012,41
Mega Millions,12/14/2012,28
Mega Millions,12/14/2012,11
Mega Millions,12/14/2012,33
Mega Millions,12/14/2012,43
Mega Millions,12/18/2012,7
Mega Millions,12/18/2012,18
Mega Millions,12/18/2012,29
Mega Millions,12/18/2012,1
Mega Millions,12/18/2012,6
Mega Millions,12/21/2012,32
Mega Millions,12/21/2012,18
Mega Millions,12/21/2012,3
Mega Millions,12/21/2012,41
Mega Millions,12/21/2012,56
Mega Millions,12/25/2012,2
Mega Millions,12/25/2012,48
Mega Millions,12/25/2012,3
Mega Millions,12/25/2012,18
Mega Millions,12/25/2012,34
Mega Millions,12/28/2012,10
Mega Millions,12/28/2012,41
Mega Millions,12/28/2012,32
Mega Millions,12/28/2012,13
Mega Millions,12/28/2012,40
Mega Millions,1/1/2013,11
Mega Millions,1/1/2013,21
Mega Millions,1/1/2013,4
Mega Millions,1/1/2013,44
Mega Millions,1/1/2013,25
Mega Millions,1/4/2013,2
Mega Millions,1/4/2013,23
Mega Millions,1/4/2013,55
Mega Millions,1/4/2013,25
